code,value,id,name_y,POINT_X,POINT_Y,2019,2020,2023,2020_change_rate,2023_change_rate,change
210600,2559167.0,42,丹东市,124.3982395,40.54384382,0.502033919,0.276320758,0.330036182,-0.225713161,0.053715424,d-u
210700,3272769.0,43,锦州市,121.1823363,41.28737874,0.533398245,0.60754651,0.507689427,0.074148265,-0.099857083,u-d
210800,2546959.0,44,营口市,122.4638265,40.3912799,0.546770537,0.52289784,0.565411674,-0.023872697,0.042513834,s-s
210900,1903575.0,45,阜新市,121.9553,42.27925913,0.45532855,0.349246549,0.378886065,-0.1060820009999999,0.0296395159999999,d-s
211000,1960613.0,46,辽阳市,123.4093459,41.14549663,0.482833611,0.485098278,0.341636832,0.0022646669999999,-0.143461446,s-d
211100,1466418.0,47,盘锦市,121.9999563,41.07751968,0.545424786,0.310035924,0.452993776,-0.2353888619999999,0.142957852,d-u
211200,2856401.0,48,铁岭市,124.17065,42.64394641,0.339242776,0.587533666,0.429268034,0.24829089,-0.158265632,u-d
211300,3186942.0,49,朝阳市,120.0680099,41.39827914,0.560017612,0.393698662,0.408008734,-0.16631895,0.014310072,d-s
211400,2751391.0,50,葫芦岛市,120.1977503,40.6245976,0.557697535,0.43398595,0.565700838,-0.1237115849999999,0.131714888,d-u
220100,9197037.0,51,长春市,125.7671389,44.38384432,0.401938944,0.480136918,0.439598341,0.078197974,-0.040538577,u-s
220200,4636128.0,52,吉林市,126.8433131,43.57978023,0.347657512,0.451613621,0.38116539,0.103956109,-0.070448231,u-d
220300,2396271.0,53,四平市,124.4675866,43.57071964,0.40329914,0.274184116,0.461729042,-0.129115024,0.187544926,d-u
220400,1223434.0,54,辽源市,125.3055554,42.81090207,0.429095065,0.597297689,0.36835471,0.168202624,-0.228942979,u-d
220500,2438663.0,55,通化市,125.9493904,41.95562711,0.442391829,0.260913921,0.382936228,-0.181477908,0.122022307,d-u
220600,1352379.0,56,白山市,127.2851408,42.06903386,0.340225264,0.424209225,0.270417357,0.083983961,-0.153791868,u-d
220700,3017327.0,57,松原市,123.878405,44.58780854,0.293632426,0.375923588,0.415255388,0.0822911619999999,0.0393318,u-s
220800,2131347.0,58,白城市,123.0118956,45.34644957,0.249311372,0.01785882,0.185311181,-0.231452552,0.167452361,d-u
222400,2380053.0,59,延边朝鲜族自治州,129.3863628,43.12003124,0.402193005,0.252339514,0.386652177,-0.149853491,0.134312663,d-u
230100,11150717.0,60,哈尔滨市,127.9574753,45.63729337,0.378933429,0.154186514,0.490048572,-0.224746915,0.335862058,d-u
230200,5623644.0,61,齐齐哈尔市,124.5458585,47.69986449,0.306839065,0.013199514,0.425024692,-0.293639551,0.4118251779999999,d-u
230300,1950975.0,62,鸡西市,132.1661405,45.53484008,0.300573171,0.099817657,0.260400574,-0.2007555139999999,0.160582917,d-u
230400,1110910.0,63,鹤岗市,130.3782368,47.70875593,0.196518864,0.035305678,0.156783403,-0.1612131859999999,0.1214777249999999,d-u
230500,1530297.0,64,双鸭山市,132.4942942,46.39858799,0.167712034,0.02459539,0.157797726,-0.143116644,0.133202336,d-u
230600,3041192.0,65,大庆市,124.6996394,46.34685958,0.299489398,0.07990021,0.457012972,-0.219589188,0.377112762,d-u
