id,name,city_id_Amap,POINT_X,POINT_Y
122,宁德市,350900,119.46765,26.97738515
123,南昌市,360100,116.0190358,28.64931419
124,景德镇市,360200,117.2699585,29.30727815
125,萍乡市,360300,113.9025314,27.51162446
126,九江市,360400,115.452666,29.32176584
127,新余市,360500,114.8525657,27.84520193
128,鹰潭市,360600,117.1086256,28.22397615
129,赣州市,360700,115.272968,25.70884414
130,吉安市,360800,114.8246945,26.9736376
131,宜春市,360900,115.0191655,28.54798759
132,抚州市,361000,116.4343458,27.51000329
133,上饶市,361100,117.9175469,28.76331198
134,济南市,370100,117.214758,36.63710369
135,青岛市,370200,120.1423736,36.45381324
136,淄博市,370300,118.0533005,36.60772751
137,枣庄市,370400,117.3932935,34.91596425
138,东营市,370500,118.6015388,37.62220247
139,烟台市,370600,120.8002433,37.23709901
140,潍坊市,370700,119.0711012,36.54564827
141,济宁市,370800,116.7349627,35.36850166
142,泰安市,370900,117.0258318,36.00098447
143,威海市,371000,121.982989,37.12021299
144,日照市,371100,119.1351101,35.58295534
145,临沂市,371300,118.2804686,35.30908739
146,德州市,371400,116.6464057,37.2477231
147,聊城市,371500,115.880558,36.45851776
148,滨州市,371600,117.8376761,37.53162765
149,菏泽市,371700,115.6924321,35.15043135
150,郑州市,410100,113.4689766,34.62787112
151,开封市,410200,114.5354602,34.60395183
152,洛阳市,410300,112.0311679,34.29106922
153,平顶山市,410400,112.9629734,33.94085377
154,安阳市,410500,114.6433447,35.47480729
155,鹤壁市,410600,114.3687924,35.63933761
156,新乡市,410700,114.0885382,35.26212749
157,焦作市,410800,113.1291004,35.11685597
158,濮阳市,410900,115.1724918,35.8070103
159,许昌市,411000,113.7095601,34.07259161
160,漯河市,411100,113.8998845,33.65574646
161,三门峡市,411200,110.7733042,34.22540864
162,南阳市,411300,112.2845019,33.04274906
163,商丘市,411400,115.6982094,34.28842065
164,信阳市,411500,114.8838967,32.081181
165,周口市,411600,114.8777881,33.72175098
166,驻马店市,411700,114.1508655,32.92337552
167,济源市,419001,112.3918669,35.10028465
168,武汉市,420100,114.3429581,30.62357271
169,黄石市,420200,115.0252829,29.92682798
170,十堰市,420300,110.4420068,32.45611067
171,宜昌市,420500,111.1351465,30.74698162
172,襄阳市,420600,111.9367791,31.93081502
173,鄂州市,420700,114.939396,30.31248073
174,荆门市,420800,112.6082606,31.06895909
175,孝感市,420900,113.8792056,31.11825705
176,荆州市,421000,112.6631991,29.85453893
177,黄冈市,421100,115.3397301,30.71586232
178,咸宁市,421200,114.175159,29.62364297
179,随州市,421300,113.4240872,31.82837146
180,恩施土家族苗族自治州,422800,109.5490264,30.19157151
181,仙桃市,429004,113.3750901,30.29012704
182,潜江市,429005,112.7560767,30.33904096
183,天门市,429006,113.1116544,30.64490338
