node_id,layer_id,module_id
300,1,1
150,2,1
9,1,1
191,1,1
73,2,1
87,2,1
251,1,1
78,2,1
221,1,1
98,2,1
134,2,1
74,2,1
1,2,1
135,1,1
74,1,1
252,1,1
87,1,1
135,2,1
2,2,1
369,1,1
14,2,1
75,2,1
234,1,1
145,2,1
3,2,1
1,1,1
8,2,1
2,1,1
140,2,1
88,2,1
123,2,1
115,1,1
77,2,1
76,2,1
73,1,1
93,2,1
78,1,1
184,1,1
106,1,1
141,2,1
12,2,1
310,1,1
75,1,1
90,2,1
79,2,1
152,2,1
139,2,1
92,2,1
38,1,1
134,1,1
144,1,1
306,1,1
142,2,1
149,2,1
5,1,1
156,2,1
165,2,1
146,2,1
15,1,1
152,1,1
91,2,1
82,2,1
11,2,1
6,2,1
109,2,1
150,1,1
151,2,1
4,2,1
83,2,1
107,2,1
136,2,1
110,2,1
163,2,1
144,2,1
3,1,1
20,2,1
154,2,1
89,2,1
324,2,1
85,2,1
84,2,1
7,2,1
80,1,1
88,1,1
139,1,1
287,1,1
133,2,1
329,1,1
147,2,1
143,1,1
168,1,1
108,2,1
223,1,1
83,1,1
81,2,1
200,1,1
198,1,1
86,2,1
95,1,1
162,2,1
80,2,1
99,2,1
148,2,1
370,1,1
273,1,1
15,2,1
105,2,1
14,1,1
92,1,1
131,2,1
193,1,1
137,2,1
282,1,1
96,2,1
159,2,1
166,2,1
9,2,1
123,1,1
21,2,1
157,2,1
113,2,1
126,2,1
13,2,1
219,1,1
23,2,1
22,2,1
302,1,1
153,2,1
24,2,1
8,1,1
17,2,1
111,2,1
76,1,1
5,2,1
114,1,1
143,2,1
101,2,1
316,1,1
323,1,1
164,2,1
151,1,1
25,1,1
325,2,1
100,2,1
118,1,1
98,1,1
270,1,1
158,2,1
145,1,1
208,1,1
77,1,1
84,1,1
136,1,1
10,1,1
201,1,1
106,2,1
4,1,1
305,1,1
91,1,1
308,1,1
97,1,1
102,2,1
261,1,1
138,2,1
94,2,1
233,1,1
258,1,1
294,1,1
10,2,1
89,1,1
30,1,1
321,1,1
130,2,1
124,1,1
97,2,1
18,2,1
293,1,1
6,1,1
371,1,1
119,1,1
19,2,1
90,1,1
103,2,1
160,2,1
180,1,1
37,1,1
314,1,1
94,1,1
95,2,1
161,2,1
112,2,1
280,1,1
140,1,1
334,1,1
220,1,1
132,2,1
197,1,1
96,1,1
124,2,1
142,1,1
213,1,1
342,1,1
82,1,1
104,2,1
307,1,1
275,1,1
155,2,1
264,1,1
205,1,1
214,1,1
216,1,1
26,1,1
7,1,1
267,1,1
147,1,1
18,1,1
21,1,1
202,1,1
138,1,1
309,1,1
224,1,1
274,1,1
93,1,1
276,1,1
81,1,1
203,1,1
17,1,1
262,1,1
257,1,1
154,1,1
171,1,1
79,1,1
110,1,1
85,1,1
229,1,1
255,1,1
271,1,1
113,1,1
60,1,1
42,1,1
253,1,1
129,1,1
268,1,1
141,1,1
149,1,1
303,1,1
156,1,1
228,1,1
122,1,1
137,1,1
99,1,1
146,1,1
324,1,1
126,1,1
204,1,1
199,1,1
