city,2019,2020,2023,2020_change_rate,2023_change_rate,change,name
139,0.564412877,0.593018097,0.576918579,5.068137381,-2.714844299,u-s,烟台市
308,0.56431287,0.33608767,0.692435594,-40.44302587,106.0282646,d-u,安康市
294,0.564112421,0.546737739,0.509127155,-3.080003445,-6.879090525,s-d,大理白族自治州
227,0.56357237,0.368354702,0.575352482,-34.63932556,56.19523217,d-u,玉林市
182,0.563269962,0.417907545,0.28175656,-25.80688246,-32.57921199,d-d,潜江市
206,0.562838132,0.290126258,0.286885421,-48.4529847,-1.11704367,d-s,茂名市
135,0.56106454,0.620408048,0.542079359,10.5769486,-12.62535024,u-d,青岛市
235,0.560800539,0.392025684,0.336882981,-30.09534465,-14.06609446,d-d,儋州市
49,0.560017612,0.393698662,0.408008734,-29.69887847,3.63477791,d-s,朝阳市
187,0.559752996,0.415774207,0.510030194,-25.72184339,22.66999381,d-u,衡阳市
108,0.559698027,0.474155973,0.309420102,-15.28360828,-34.74297075,d-d,阜阳市
240,0.559078601,0.12013687,0.301321428,-78.5116315,150.8151145,d-u,东方市
50,0.557697535,0.43398595,0.565700838,-22.18255905,30.35003506,d-u,葫芦岛市
96,0.554220544,0.638373356,0.587725547,15.18399361,-7.933885167,u-d,台州市
113,0.554087638,0.620145597,0.548149492,11.92193337,-11.60954868,u-d,宣城市
141,0.552486434,0.569192863,0.515383722,3.023862302,-9.453586736,s-d,济宁市
125,0.551452057,0.475863175,0.305034711,-13.70724454,-35.89865175,d-d,萍乡市
318,0.551304367,0.560358678,0.617300558,1.642343421,10.16168433,s-u,酒泉市
276,0.55070319,0.54013768,0.448870496,-1.918548901,-16.89702226,s-d,安顺市
76,0.550541142,0.55008096,0.523385812,-0.083587214,-4.852948919,s-s,徐州市
150,0.549728255,0.640436092,0.526253456,16.50048659,-17.82888838,u-d,郑州市
146,0.54889288,0.579045329,0.430020821,5.493321211,-25.73624214,u-d,德州市
163,0.547913875,0.33232614,0.514657723,-39.34701143,54.86525466,d-u,商丘市
44,0.546770537,0.52289784,0.565411674,-4.366127175,8.130428307,s-u,营口市
162,0.54592484,0.500136303,0.492111998,-8.387333502,-1.604423624,d-s,南阳市
47,0.545424786,0.310035924,0.452993776,-43.1569793,46.11009271,d-u,盘锦市
13,0.545376818,0.64038459,0.58885146,17.42057397,-8.047215814,u-d,衡水市
138,0.545150327,0.557429605,0.596418119,2.252457238,6.994338595,s-u,东营市
160,0.545033633,0.405736333,0.422762884,-25.55756041,4.196457062,d-s,漯河市
198,0.544404144,0.549017858,0.457447648,0.847479589,-16.67891284,s-d,广州市
79,0.543737922,0.518395645,0.587072485,-4.66075217,13.24795852,s-u,南通市
306,0.541988524,0.437939788,0.663477761,-19.19759024,51.49976759,d-u,汉中市
154,0.54193837,0.614836729,0.440836027,13.45141127,-28.30031028,u-d,安阳市
153,0.540270971,0.446597232,0.478687803,-17.33828838,7.185573197,d-u,平顶山市
229,0.539334642,0.366072388,0.459792857,-32.12518546,25.60162199,d-u,贺州市
332,0.539255579,0.61123691,0.245574224,13.34827748,-59.82339745,u-d,固原市
137,0.53829358,0.438170434,0.427867094,-18.60010034,-2.351445739,d-s,枣庄市
261,0.537965967,0.291279921,0.382915586,-45.85532564,31.45965732,d-u,乐山市
100,0.537898028,0.330894217,0.410977138,-38.48383899,24.20197057,d-u,蚌埠市
316,0.537671634,0.361132248,0.615829765,-32.83405239,70.52749191,d-u,张掖市
134,0.536672354,0.65168358,0.561951425,21.43043612,-13.76928279,u-d,济南市
335,0.535843313,0.184785157,0.352665578,-65.51507642,90.8516808,d-u,克拉玛依市
115,0.534224475,0.589118051,0.485916433,10.27537647,-17.51798605,u-d,厦门市
43,0.533398245,0.60754651,0.507689427,13.90110779,-16.43612157,u-d,锦州市
95,0.532352217,0.306587288,0.614644294,-42.40893938,100.47938,d-u,舟山市
21,0.530795425,0.502547484,0.403039043,-5.321813201,-19.80080374,d-d,运城市
260,0.530613899,0.409656478,0.558315523,-22.79575059,36.28870846,d-u,内江市
252,0.527712009,0.564801703,0.490460901,7.028396809,-13.16228361,u-d,成都市
112,0.526739857,0.160198643,0.38640665,-69.58676264,141.2046961,d-u,池州市
147,0.52627625,0.502300123,0.509384697,-4.555806385,1.410426491,s-s,聊城市
118,0.524337055,0.58120481,0.591185249,10.8456487,1.71719828,u-s,泉州市
39,0.523602288,0.694690673,0.529359378,32.67525542,-23.79926799,u-d,鞍山市
73,0.523118804,0.504467139,0.496466819,-3.56547401,-1.585895172,s-s,上海市
32,0.521462963,0.667828861,0.348189601,28.06832093,-47.8624508,u-d,巴彦淖尔市
251,0.52051973,0.456188704,0.448057695,-12.35899857,-1.782378417,d-s,重庆市
233,0.520301391,0.585555447,0.438453099,12.54158784,-25.12184777,u-d,海口市
156,0.51869896,0.486595684,0.435443994,-6.189192282,-10.51215448,d-d,新乡市
257,0.518678693,0.467808232,0.511904295,-9.807702087,9.426098128,d-u,绵阳市
122,0.516706575,0.551613548,0.640986782,6.755666502,16.20214629,u-u,宁德市
102,0.516201774,0.613818007,0.577839056,18.91047996,-5.861501388,u-d,马鞍山市
161,0.515643515,0.455876044,0.544881275,-11.5908509,19.52399828,d-u,三门峡市
104,0.514322356,0.419743068,0.310800292,-18.38910693,-25.95463375,d-d,铜陵市
330,0.513569184,0.592571898,0.559474064,15.38307135,-5.585454543,u-d,石嘴山市
179,0.513288488,0.108448422,0.326501425,-78.87183825,201.0660911,d-u,随州市
38,0.512694447,0,0.54612218,-100,100,d-u,大连市
164,0.509325199,0.320104759,0.421482328,-37.15120327,31.67012241,d-u,信阳市
299,0.50854691,0.525717263,0.327945338,3.376355782,-37.6194466,s-d,林芝市
172,0.508122232,0.482859884,0.431591654,-4.971706886,-10.61762049,s-d,襄阳市
1,0.507124171,0.420837349,0.393159787,-17.01492986,-6.576783659,d-d,北京市
107,0.506225534,0.630170165,0.496766973,24.48407334,-21.16939192,u-d,滁州市
42,0.502033919,0.276320758,0.330036182,-44.95974325,19.43951818,d-u,丹东市
35,0.501528407,0.704425564,0.396939754,40.45576565,-43.65057512,u-d,锡林郭勒盟
23,0.501467766,0.553238149,0.517248856,10.32377084,-6.505208122,u-d,临汾市
312,0.499335811,0.426332782,0.391034594,-14.62002672,-8.279491864,d-d,金昌市
120,0.499183883,0.300632628,0.569051869,-39.77517339,89.28480012,d-u,南平市
331,0.498930438,0.625827003,0.461088272,25.43371888,-26.32336576,u-d,吴忠市
29,0.498236963,0.429925417,0.496605491,-13.71065398,15.50968409,d-u,通辽市
263,0.498013351,0.359493823,0.401346021,-27.81442058,11.64197973,d-u,眉山市
310,0.496596301,0.591977054,0.539773584,19.20689961,-8.818495522,u-d,兰州市
232,0.495511567,0.647804028,0.545759198,30.73439071,-15.75242289,u-d,崇左市
91,0.495163115,0.446614943,0.374713384,-9.804480691,-16.09922823,d-d,湖州市
18,0.495128905,0.516250274,0.499875157,4.265832349,-3.171933813,s-s,晋城市
90,0.494843392,0.593709214,0.561104715,19.97921435,-5.491661276,u-d,嘉兴市
126,0.49431604,0.349363457,0.462743153,-29.32386799,32.45322135,d-u,九江市
258,0.494146503,0.282708011,0.386389676,-42.78862457,36.67447011,d-u,广元市
30,0.492762777,0.521132208,0.45526671,5.757218752,-12.6389229,u-d,鄂尔多斯市
98,0.49143051,0.573602325,0.494112107,16.72094291,-13.85807109,u-d,合肥市
27,0.491124357,0.457400071,0.348553855,-6.866750858,-23.7967204,d-d,乌海市
136,0.488068463,0.543787364,0.505906762,11.41620597,-6.966068818,u-d,淄博市
127,0.487933702,0.40441442,0.347666054,-17.11693241,-14.0322311,d-d,新余市
19,0.487648992,0.596526874,0.553100876,22.3271008,-7.279805805,u-d,朔州市
97,0.487634178,0.445887448,0.443582208,-8.561075471,-0.517000425,d-s,丽水市
129,0.486801338,0.291947741,0.503254417,-40.0273339,72.37825348,d-u,赣州市
188,0.485457145,0.435238909,0.285872009,-10.34452506,-34.31837019,d-d,邵阳市
199,0.48461815,0.24282341,0.403728936,-49.89386799,66.26442072,d-u,韶关市
84,0.484228609,0.644436884,0.56421103,33.08525602,-12.44898546,u-d,镇江市
17,0.484228159,0.497814126,0.566133385,2.805695362,13.72384901,s-u,长治市
212,0.48387663,0.247055029,0.224913775,-48.94255815,-8.96207379,d-d,阳江市
183,0.483807689,0.179594787,0.227890064,-62.87888947,26.89124657,d-u,天门市
218,0.483393914,0.282554705,0.27360506,-41.54773223,-3.167402574,d-s,云浮市
46,0.482833611,0.485098278,0.341636832,0.469036734,-29.57368692,s-d,辽阳市
220,0.482092056,0.420488301,0.420759845,-12.77842151,0.064578253,d-s,柳州市
75,0.481655071,0.512710664,0.558552623,6.44768318,8.941097235,u-u,无锡市
300,0.481612623,0.448420793,0.336157123,-6.891810641,-25.03533996,d-d,西安市
131,0.481596763,0.465044491,0.396189916,-3.436956656,-14.80601885,s-d,宜春市
155,0.480416225,0.327534854,0.316192674,-31.82269104,-3.462892532,d-s,鹤壁市
186,0.480308148,0.312273549,0.409897409,-34.98474879,31.26228921,d-u,湘潭市
28,0.47726354,0.297105839,0.530519669,-37.74805446,78.56251859,d-u,赤峰市
119,0.476634731,0.527069123,0.488779556,10.58135061,-7.264619635,u-d,漳州市
123,0.473875458,0.536033075,0.467969694,13.11686772,-12.69760845,u-d,南昌市
269,0.473670768,0.593472206,0.377795299,25.29213245,-36.34153459,u-d,资阳市
280,0.473098936,0.440002478,0.289233853,-6.995673734,-34.26540361,d-d,黔东南苗族侗族自治州
204,0.471877237,0.560530619,0.481063358,18.78738262,-14.17714899,u-d,江门市
157,0.471386348,0.410133228,0.390339492,-12.99424989,-4.826172241,d-s,焦作市
26,0.470967475,0.502400917,0.424223649,6.674227769,-15.56073354,u-d,包头市
351,0.468250722,0,0.016444582,-100,100,d-u,神农架林区
144,0.467069332,0.335840991,0.416613236,-28.09611593,24.05074043,d-u,日照市
12,0.466058236,0.547120227,0.529707644,17.39310342,-3.182588057,u-s,廊坊市
132,0.465960143,0.485178915,0.337566673,4.124552773,-30.42429039,s-d,抚州市
249,0.464385128,0.229118885,0.306877574,-50.66188145,33.93814045,d-u,保亭黎族苗族自治县
333,0.463947983,0.513675851,0.384444974,10.71841453,-25.15805965,u-d,中卫市
152,0.463491621,0.32038004,0.414239376,-30.87684319,29.29624954,d-u,洛阳市
101,0.462207069,0.542963793,0.355072781,17.47197943,-34.60470374,u-d,淮南市
143,0.461849652,0.581505431,0.469284931,25.90795045,-19.29827204,u-d,威海市
78,0.459593359,0.501758166,0.486573963,9.174372557,-3.026199478,u-s,苏州市
195,0.459352514,0.442603555,0.259042793,-3.64621037,-41.47295247,s-d,怀化市
284,0.459028079,0.304221875,0.2492188,-33.72477874,-18.07992111,d-d,玉溪市
168,0.458607062,0.54740631,0.425576252,19.3628174,-22.25587389,u-d,武汉市
180,0.458225464,0.232176928,0.516302522,-49.33129076,122.374603,d-u,恩施土家族苗族自治州
340,0.458072192,0.291333498,0.307153786,-36.40009084,5.430301736,d-u,巴音郭楞蒙古自治州
165,0.455891779,0.333668723,0.452854421,-26.80966441,35.71976928,d-u,周口市
159,0.455385445,0.25521144,0.336143297,-43.9570494,31.71168855,d-u,许昌市
45,0.45532855,0.349246549,0.378886065,-23.29790236,8.486702613,d-u,阜新市
303,0.454717546,0.53945279,0.570386408,18.63469856,5.734258599,u-u,咸阳市
203,0.449566261,0.533890062,0.47173805,18.75670136,-11.64135024,u-d,佛山市
298,0.447189866,0.434576284,0.469073327,-2.820632344,7.938086884,s-u,拉萨市
274,0.446634603,0.14412238,0.248600229,-67.73147915,72.49245329,d-u,六盘水市
10,0.446536537,0.227230424,0.528357587,-49.11269176,132.5206184,d-u,承德市
305,0.445795893,0.419622028,0.596797524,-5.871266517,42.22263947,d-u,延安市
338,0.445584913,0.374005647,0.427667719,-16.06411346,14.34793096,d-u,昌吉回族自治州
256,0.443010165,0.372710824,0.489297535,-15.86856162,31.28074193,d-u,德阳市
5,0.442849944,0.362110781,0.563670199,-18.23172027,55.66236317,d-u,秦皇岛市
185,0.442543165,0.42885921,0.421295049,-3.092117579,-1.763786535,s-s,株洲市
55,0.442391829,0.260913921,0.382936228,-41.02198461,46.76726582,d-u,通化市
178,0.442182654,0.238617554,0.320503008,-46.0364282,34.31660941,d-u,咸宁市
202,0.441445091,0.545062023,0.467526446,23.47221299,-14.22509251,u-d,汕头市
2,0.441194099,0.469675005,0.499385402,6.455414083,6.325735175,u-u,天津市
349,0.440430973,0.850534176,0.006227716,93.11406966,-99.26778768,u-d,五家渠市
301,0.438416695,0.401251613,0.52681419,-8.477113765,31.29272829,d-u,铜川市
94,0.438383099,0.203084806,0.436519716,-53.67412511,114.9445469,d-u,衢州市
33,0.434644853,0.552053972,0.424723431,27.01265601,-23.06487182,u-d,乌兰察布市
111,0.434228647,0.369194549,0.400530616,-14.97692482,8.487684091,d-u,亳州市
184,0.432096051,0.52090862,0.452592101,20.55389509,-13.11487589,u-d,长沙市
200,0.431167915,0.431539082,0.434815873,0.086084096,0.759326591,s-s,深圳市
205,0.431155215,0.504415784,0.402272647,16.99169266,-20.24979,u-d,湛江市
226,0.429822701,0.190241458,0.473076783,-55.73955085,148.6717606,d-u,贵港市
