NodeID,POINT_X,POINT_Y
198,113.534913,23.35353765
199,113.7745254,24.82050491
200,113.9694664,22.66192176
201,113.2331956,22.14621552
202,116.5764025,23.29456009
203,112.9444508,23.00640786
204,112.668483,22.29772662
205,110.3153565,20.4664191
206,110.9509804,22.01536935
207,112.2053493,23.53755271
208,114.4982324,23.24368647
209,116.0792072,24.20278157
210,115.5324429,23.01478049
211,114.9576599,24.04448717
212,111.7697497,22.04568024
213,112.8744778,24.3147376
214,113.8838798,22.98704535
215,113.3843708,22.52046658
216,116.7721161,23.79625625
217,116.1169032,23.33832371
218,111.7841318,22.87383432
219,108.463204,23.05701343
220,109.3713495,24.94763523
221,110.5141663,25.35499997
222,110.9912815,23.2005409
223,109.3347867,21.68204536
224,107.9957157,21.88450163
225,109.0262172,22.18458973
226,109.9985092,23.30829265
227,110.1814531,22.44128774
228,107.0238442,23.66909186
229,111.3622823,24.35972994
230,107.861436,24.3655082
231,109.4340344,23.64566645
232,107.2734696,22.50302151
233,110.4209458,19.83172461
234,109.4183047,18.39351685
235,109.4022146,19.56772251
236,109.507475,18.82570302
237,110.4027496,19.21080525
238,110.7695764,19.74563874
239,110.2814075,18.83571583
240,108.8401876,18.99429695
241,110.3076251,19.48515449
242,110.0511244,19.34290429
243,109.9851436,19.68841738
244,109.7132667,19.80191504
245,109.3479248,19.21140469
246,108.9787783,19.31821237
247,109.0523074,18.65419959
248,109.9379033,18.57157194
249,109.6465777,18.59140979
250,109.8509447,19.03516864
251,107.874403,30.05722342
252,103.9299544,30.65342702
253,104.9642106,29.22428741
254,101.7299564,26.80659978
255,105.4509562,28.55072564
256,104.4350155,31.13018393
257,104.7032605,31.8489839
258,105.7824895,32.26219851
259,105.4716257,30.63161468
260,104.9113969,29.64068851
261,103.5703616,29.21607378
262,106.2037808,31.19561078
263,104.0908138,29.99575674
264,104.6356153,28.57325794
265,106.6633118,30.42621804
266,107.644772,31.36588372
267,102.6638011,29.91221795
268,107.0380279,32.01703734
269,105.1153914,30.10038831
270,102.6094439,32.40024295
271,99.99701819,30.94856032
272,102.0796231,27.88693667
273,106.7064717,26.8415517
274,104.6615864,25.87215448
275,107.0849211,28.16852533
276,105.9490019,25.99505999
277,105.2126886,27.06641458
278,108.5412675,27.97187811
279,105.4643829,25.26552199
280,108.5575473,26.5057259
